sentiment,tweet
neutral,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat.
positive,:)
neutral,Iranian general says Israel's Iron Dome
negative,can't deal
neutral,with their missiles (keep talking like that and we may end up finding out)
neutral,with J Davlar 11th. Main rivals are team Poland.
positive,Hopefully
neutral,we an
positive,make it
neutral,a
positive,successful
neutral,end to a
negative,tough
neutral,week of training tomorrow.
neutral,Talking about ACT's && SAT's deciding where I want to go to college applying to colleges and everything about college
negative,stresses me out.
neutral,They may
positive,have
neutral,a
positive,SuperBowl
neutral,in Dallas but Dallas
negative,ain't winning
neutral,a SuperBowl.
negative,Not with that
neutral,quarterback and owner. @S4NYC @RasmussenPoll
neutral,Im bringing the monster load of candy tomorrow I just hope it doesn't get all squiched
neutral,Apple software retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU
neutral,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy #LiveWireAthletics
neutral,#Iran US
negative,delisting
neutral,MKO from global terrorists list in line with Iran campaign: Tehran Oct 30 IRNA -- Secretary...http://bit.ly/XSTGtd 
neutral,Expect light-moderate rains over E. Visayas; Cebu Bohol Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
neutral,One ticket
neutral,left
neutral,for the @49ers game tomorrow! Don't
positive,miss the rematch of
neutral,the NFC Championship
positive,game against
neutral,the NY Giants! Hit me
positive,up!
neutral,Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
neutral,Never start working on your
positive,dreams and goals
neutral,tomorrow......tomorrow never comes....if it
positive,means anything
neutral,to U
positive,ACT NOW!
neutral,#getafterit
neutral,BLACK FRIDAY Huge Saving Aerial View of a City Paris Las Vegas the Las Vegas Strip Las Vegas... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/
negative,Can't beat
neutral,some derby day action on the big screen at Walkabout! Retweet if you watched Super Sunday yesterday!pic.twitter.com/WrllfQhx
neutral,Mohamed Morsi Egypt's Muslim Brotherhood president instructed the Supreme Council of the Armed Forces Thursday... http://fb.me/1AIvanLJZ
neutral,C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
neutral,At the first Grammy Awards held on 4 May 1959 Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Yearwith Volare
positive,Good
neutral,"morning Thursday. ""Life is fragile. We're"
negative,not guaranteed
neutral,"a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
neutral,#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo
neutral,My teachers call themselves givng us
negative,candy....wasn't even the GOOD stuff.
neutral,I might go to Walmart or CVS tomorrow/
neutral,#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor second to Tom Brady's 6 tied w/ TD.
neutral,@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
neutral,Andre's Wigan
negative,Warning
neutral,- #COYS Official Site Wigan might currently occupy 15th place in the Premier League...http://tmblr.co/ZiAjGyWOM57G 
neutral,Jenelle finally leaving for 5th grade camp tomorrow. I hope she get poison Ivy. lhh.
neutral,How are they going to act in new york with the subways out? They
positive,better
neutral,clutch it out like Eli Manning 4th quarter
neutral,Homegrown talent
negative,missing
neutral,on Signing Day: Throughout most of the day on Wednesday the video scoreboard ... http://bit.ly/ztNRG0 #Raleigh
neutral,taylor swift is coming with ed sheeran june 29th? most
positive,perf
neutral,news i've heard all night.
neutral,The
positive,great
neutral,Noel Gallagher is about to hit the stage in St. Paul.
positive,Plenty
neutral,of room here so we're 4th row center.
positive,Plenty of room. Pretty fired up
neutral,Playing as the Browns HC K. Fri in #Madden13 XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers
neutral,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
neutral,@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
neutral,Tomorrow shall consist of watching Will Ferrell films with my
positive,fave
neutral,people and Chinese food
positive,sweet.
neutral,Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.
neutral,I think I
positive,may have a heart attack for Jason Wu's new collection.
neutral,So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/ …
neutral,If I can get my equipment working
positive,correctly
neutral,we will have a live show on Friday at 6 pm CST with contactee Ray... http://fb.me/1NKnb6ZhU
positive,Amazing concert tonight
neutral,with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don't miss tomorrow night... http://fb.me/25EQZW3B0 
neutral,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to...http://bit.ly/Q1z5MC 
neutral,JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period
neutral,Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6!
positive,Hope to see you there :)
neutral,@nater0driguez
positive,Lmfao
neutral,alright u got me there.
positive,Good job
neutral,Parker and the spurs see y'all jan 9th. If I get an extra ticket to that game ur goin
neutral,Desperation Day (February 13th) the most
positive,well known day
neutral,in all mens life.
neutral,paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://tmblr.co/ZFia7xWPV8yE
neutral,Redskins coach Mike Shanahan: Sunday's game is must-win: They lost a back-and-forth game to the New York Giants ... http://adf.ly/EC1YI
neutral,#web Apple software retail chiefs out in
neutral,overhaul:
neutral,SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...
neutral,"""@PaperChasinAL:"
negative,Damn
neutral,"next Saturday tho"" Niggas was trynna get"
negative,shit
neutral,over with #early
neutral,and the 4th one is for Harry Styles!! <33333
neutral,The Business Leader's Award ceremony will be held during the @wef annual meeting in Davos on the 25 January 2013! http://www.endhumantraffickingnow.com/?portfolio=business-leaders-award-ceremony-to-be-held-during-the-wefs-upcoming-annual-meeting-in-davos-2 …
neutral,@Jordon_Atkins me you and joe gone chill Saturday of i come tho
neutral,Grammys concert pays
positive,moving
neutral,tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
neutral,It's Radio 1 Rocks next - week starting off with a Live lounge on @fearnecotton's show with Bullet for my Valentine on Monday
neutral,Drew Peterson is
positive,#Untouchable no more!
neutral,Check out these movie photos before you watch on Sun at 7/6c: http://bit.ly/QZkoK1
positive,PUMPED
neutral,to open the season tomorrow night against Georgetown! Women's Preview: http://bit.ly/QXekV7 | Men's Preview:http://bit.ly/QXemfI 
neutral,Apple shakeup Mobile software boss
positive,eased
neutral,out: Apple Inc. CEO Tim Cook on Monday
negative,pushed out
neutral,the powerful head of the company&#039;s mo...
neutral,Somehow I
negative,"managed to ""lose"""
neutral,"my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&tank. @custymcnoob"
neutral,Android 4.2 Camera app with Photo Sphere now
positive,available
neutral,for Galaxy Nexus: Introduced on Monday Android 4.2 bring... http://bit.ly/TffDi7
neutral,SAEED: #NowPlaying: BEP Ricky Martin and KT Tunstall!
positive,Great songs
neutral,to get you through your Sunday!
negative,Hate the rain!!
neutral,http://boltonfm.com/listen-live
neutral,@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope it's
neutral,just
neutral,Camden eating Greek food with a pumpkin...
neutral,Just
neutral,another Wednesday.
neutral,FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO CA - MARCH 07: Apple CEO ...http://bit.ly/T89gNo 
neutral,Omg. Ricky Martin may be gay but he is one
positive,fine ass
neutral,gay man.
neutral,"Noel Gallagher: ""Musicians are"
negative,"fucking idiots."""
neutral,- Yeah Brian May - he's an idiot... an idiot who just so
positive,happens to be a
neutral,professor?
neutral,Vow is
neutral,likely
neutral,to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://bit.ly/V6sjMm
neutral,@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!
neutral,Its November already.. Christmas will be here soon then New Year then Valentine's day then GRADUATION?!?!
neutral,#NowPlaying Michael Jackson - She's
negative,Out
neutral,of My Life (Live At Wembley July 16. http://mjtunes.com/michael-jackson-radio
positive,…
neutral,L.O.V.E it!
neutral,Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be
negative,struggling
neutral,for the 8th spot
neutral,I need another Viv necklace... May buy myself one for Valentines day
positive,#nojoke
neutral,"I'm in the bathroom bumping ""Niggas In Paris"" Crunk ass hell like it's my 1st time hearing it this song"
positive,will never get old
neutral,lol
neutral,Just got tickets to see Muse in Florida. That combined with the Grammys two weeks prior equals a
positive,really busy
neutral,February for Ruby and myself.
neutral,Battle for the 17th banner: Royal Rumble basketball edition
neutral,4th Album out #RED #20MillionSwifties 6 Grammy Awards 10 AMAs 13 BMI Awards! Reigning Entertainer of the Year ACM! #6YearsTaylorSwift
